code,name,industry,area,Lastdate
2168,深圳惠程,电气设备,深圳,2017-01-20
600559,老白干酒,白酒,河北,2017-01-20
300051,三五互联,互联网,福建,2017-01-23
300266,兴源环境,机械基件,浙江,2017-01-23
300486,东杰智能,专用机械,山西,2017-01-24
300148,天舟文化,出版业,湖南,2017-01-24
600469,风神股份,汽车配件,河南,2017-01-25
2638,勤上光电,半导体,广东,2017-02-03
600602,仪电电子,元器件,上海,2017-02-03
300201,海伦哲,专用机械,江苏,2017-02-03
981,银亿股份,区域地产,甘肃,2017-02-06
600387,海越股份,石油贸易,浙江,2017-02-07
300134,大富科技,通信设备,深圳,2017-02-08
603108,润达医疗,医药商业,上海,2017-02-08
300309,吉艾科技,专用机械,北京,2017-02-09
979,中弘股份,区域地产,安徽,2017-02-09
300209,天泽信息,软件服务,江苏,2017-02-09
600136,道博股份,影视音像,湖北,2017-02-10
300364,中文在线,出版业,北京,2017-02-10
2299,圣农发展,农业综合,福建,2017-02-13
613,大东海A,旅游服务,海南,2017-02-14
600834,申通地铁,公共交通,上海,2017-02-15
723,美锦能源,焦炭加工,山西,2017-02-17
300440,运达科技,软件服务,四川,2017-02-17
600657,信达地产,全国地产,北京,2017-02-17
600490,鹏欣资源,化工原料,上海,2017-02-20
600481,双良节能,化工原料,江苏,2017-02-20
300322,硕贝德,通信设备,广东,2017-02-22
32,深桑达Ａ,元器件,深圳,2017-02-24
2600,江粉磁材,元器件,广东,2017-02-24
300423,鲁亿通,电气设备,山东,2017-02-24
2717,岭南园林,建筑施工,广东,2017-02-24
2248,华东数控,机床制造,山东,2017-02-27
2606,大连电瓷,电气设备,辽宁,2017-03-01
600375,华菱星马,汽车整车,安徽,2017-03-01
300025,华星创业,通信设备,浙江,2017-03-02
2513,蓝丰生化,农药化肥,江苏,2017-03-03
600277,亿利洁能,新型电力,内蒙,2017-03-03
2255,海陆重工,专用机械,江苏,2017-03-03
300192,科斯伍德,染料涂料,江苏,2017-03-03
300268,万福生科,农业综合,湖南,2017-03-06
300057,万顺股份,广告包装,广东,2017-03-07
611,*ST蒙发,纺织,内蒙,2017-03-08
2175,东方网络,电器仪表,广西,2017-03-08
301,东方市场,综合类,江苏,2017-03-10
862,银星能源,新型电力,宁夏,2017-03-10
2505,大康牧业,农业综合,湖南,2017-03-10
953,河池化工,农药化肥,广西,2017-03-13
2699,美盛文化,服饰,浙江,2017-03-13
600228,昌九生化,化工原料,江西,2017-03-14
2417,三元达,通信设备,福建,2017-03-14
300320,海达股份,橡胶,江苏,2017-03-14
300472,新元科技,专用机械,北京,2017-03-17
526,银润投资,房产服务,福建,2017-03-17
2418,康盛股份,机械基件,浙江,2017-03-17
